Angle (degree )	Bit Value (0/1)
0.0	0.0
0.18018018018018017	0.0
0.36036036036036034	0.0
0.5405405405405405	0.0
0.7207207207207207	0.0
0.9009009009009008	0.0
1.081081081081081	0.0
1.261261261261261	0.0
1.4414414414414414	0.0
1.6216216216216217	0.0
1.8018018018018016	0.0
1.981981981981982	0.0
2.162162162162162	0.0
2.342342342342342	0.0
2.522522522522522	0.0
2.7027027027027026	0.0
2.8828828828828827	0.0
3.0630630630630624	0.0
3.2432432432432434	0.0
3.423423423423423	0.0
3.603603603603603	0.0
3.7837837837837833	0.0
3.963963963963964	0.0
4.144144144144144	0.0
4.324324324324324	0.0
4.504504504504504	0.0
4.684684684684684	0.0
4.864864864864865	0.0
5.045045045045044	0.0
5.225225225225224	0.0
5.405405405405405	0.0
5.585585585585585	0.0
5.7657657657657655	0.0
5.945945945945946	0.0
6.126126126126125	0.0
6.306306306306306	0.0
6.486486486486487	0.0
6.666666666666666	0.0
6.846846846846846	0.0
7.027027027027027	0.0
7.207207207207206	0.0
7.387387387387387	0.0
7.567567567567567	0.0
7.747747747747747	0.0
7.927927927927928	0.0
8.108108108108107	0.0
8.288288288288287	0.0
8.468468468468467	0.0
8.648648648648647	0.0
8.82882882882883	0.0
9.009009009009008	0.0
9.189189189189188	0.0
9.369369369369368	0.0
9.549549549549548	0.0
9.72972972972973	0.0
9.909909909909908	0.0
10.090090090090088	0.0
10.27027027027027	0.0
10.450450450450449	0.0
10.63063063063063	0.0
10.81081081081081	0.0
10.99099099099099	0.0
11.17117117117117	0.0
11.351351351351349	0.0
11.531531531531531	0.0
11.711711711711711	0.0
11.891891891891891	0.0
12.072072072072073	0.0
12.25225225225225	0.0
12.432432432432432	0.0
12.612612612612612	0.0
12.792792792792792	0.0
12.972972972972974	0.0
13.153153153153154	0.0
13.333333333333332	0.0
13.513513513513512	0.0
13.693693693693692	0.0
13.873873873873874	0.0
14.054054054054054	0.0
14.234234234234233	0.0
14.414414414414413	0.0
14.594594594594593	0.0
14.774774774774775	0.0
14.954954954954955	0.0
15.135135135135133	0.0
15.315315315315315	0.0
15.495495495495494	0.0
15.675675675675675	0.0
15.855855855855856	0.0
16.036036036036037	0.0
16.216216216216214	0.0
16.396396396396394	0.0
16.576576576576574	1.0
16.756756756756758	0.0
16.936936936936934	0.0
17.117117117117118	0.0
17.297297297297295	0.0
17.477477477477475	0.0
17.65765765765766	0.0
17.83783783783784	0.0
18.018018018018015	0.0
18.1981981981982	0.0
18.378378378378375	0.0
18.55855855855856	0.0
18.738738738738736	0.0
18.91891891891892	0.0
19.099099099099096	0.0
19.279279279279276	0.0
19.45945945945946	0.0
19.63963963963964	0.0
19.819819819819816	0.0
20.0	0.0
20.180180180180177	0.0
20.36036036036036	0.0
20.54054054054054	0.0
20.720720720720717	0.0
20.900900900900897	0.0
21.08108108108108	0.0
21.26126126126126	0.0
21.44144144144144	0.0
21.62162162162162	0.0
21.8018018018018	0.0
21.98198198198198	0.0
22.162162162162158	0.0
22.34234234234234	0.0
22.522522522522518	0.0
22.702702702702698	0.0
22.882882882882882	0.0
23.063063063063062	0.0
23.243243243243242	0.0
23.423423423423422	0.0
23.603603603603602	0.0
23.783783783783782	0.0
23.963963963963963	0.0
24.144144144144146	0.0
24.32432432432432	0.0
24.5045045045045	0.0
24.684684684684683	0.0
24.864864864864863	0.0
25.045045045045043	0.0
25.225225225225223	0.0
25.405405405405403	0.0
25.585585585585584	0.0
25.765765765765764	0.0
25.945945945945947	0.0
26.12612612612612	0.0
26.306306306306308	0.0
26.486486486486484	0.0
26.666666666666664	0.0
26.846846846846844	0.0
27.027027027027025	0.0
27.207207207207205	0.0
27.387387387387385	0.0
27.567567567567565	0.0
27.74774774774775	0.0
27.92792792792792	0.0
28.10810810810811	0.0
28.288288288288285	0.0
28.468468468468465	0.0
28.648648648648646	0.0
